Date,Tractor_Model,Demand_Units,Supplier,Supplier_Delay_Days,Component_Failure_Rate,Inventory_Levels,Warehouse_Location,Inflation_Rate,Market_Trend_Index
2021-08-14,TX-400,284,Supplier A,4,0.056,2671,CA,5.72,0.29
2022-04-23,TX-500,145,Supplier B,19,0.01,1286,IL,5.13,0.5
2022-05-11,TX-300,441,Supplier B,5,0.095,4001,FL,2.63,0.54
2023-10-16,TX-500,368,Supplier E,11,0.086,3539,FL,1.98,0.61
2023-07-04,TX-300,392,Supplier B,20,0.084,2664,NY,3.18,0.8
2020-05-12,TX-300,181,Supplier D,2,0.039,4910,FL,3.37,0.16
2023-07-23,TX-500,225,Supplier C,28,0.045,1447,CA,1.53,0.23
2022-08-29,TX-100,101,Supplier D,26,0.012,3507,CA,5.49,0.87
2021-05-27,TX-100,87,Supplier C,13,0.094,2725,CA,5.33,0.83
2020-11-08,TX-100,392,Supplier A,20,0.094,3852,NY,5.33,0.82
2021-07-29,TX-100,54,Supplier D,3,0.025,766,TX,5.13,0.21
2022-06-04,TX-300,262,Supplier B,16,0.07,4783,CA,4.8,0.06
2023-07-31,TX-200,169,Supplier C,16,0.02,872,FL,4.36,0.52
2023-02-18,TX-500,375,Supplier E,13,0.039,3304,FL,5.82,0.87
2023-02-04,TX-200,418,Supplier D,14,0.03,1264,CA,4.7,0.24
2021-11-17,TX-200,258,Supplier A,6,0.039,4694,TX,4.34,0.9
2023-05-12,TX-400,266,Supplier E,3,0.031,748,NY,5.05,0.14
2020-06-13,TX-100,73,Supplier A,16,0.035,2323,CA,2.61,0.3
2020-10-31,TX-300,391,Supplier C,5,0.079,4995,NY,5.85,0.3
2020-06-04,TX-100,254,Supplier D,10,0.03,1159,TX,1.59,0.15
2023-10-22,TX-100,450,Supplier A,11,0.081,1087,CA,4.42,0.87
2021-09-11,TX-200,275,Supplier E,14,0.057,2290,CA,1.85,0.41
2023-06-28,TX-400,267,Supplier E,26,0.078,4844,CA,5.34,0.19
2022-08-14,TX-100,260,Supplier B,11,0.092,4723,IL,5.85,0.15
2020-11-29,TX-500,75,Supplier A,10,0.014,1885,CA,3.34,0.42
2022-08-26,TX-500,301,Supplier D,26,0.034,1627,CA,5.36,0.02
2021-05-25,TX-100,52,Supplier D,16,0.006,4779,TX,3.01,0.12
2023-08-09,TX-200,51,Supplier B,7,0.041,4419,TX,2.22,0.0
2022-11-09,TX-200,141,Supplier E,11,0.024,2001,IL,2.74,0.02
2020-10-08,TX-300,51,Supplier A,28,0.057,2503,CA,2.86,1.0
2022-03-07,TX-400,199,Supplier E,8,0.078,3085,FL,4.34,0.45
2022-10-21,TX-200,120,Supplier A,10,0.049,1950,NY,5.08,0.73
2020-04-28,TX-300,53,Supplier A,2,0.033,1107,CA,2.42,0.74
2022-11-24,TX-500,87,Supplier A,6,0.015,645,IL,1.9,0.88
2020-07-16,TX-500,408,Supplier E,28,0.003,624,FL,2.5,0.1
2021-04-29,TX-500,119,Supplier E,20,0.068,4110,TX,2.83,0.53
2022-12-18,TX-100,250,Supplier E,2,0.003,1837,NY,2.76,0.32
2022-04-16,TX-400,357,Supplier C,20,0.092,1180,IL,2.49,0.55
2023-03-30,TX-300,301,Supplier E,15,0.059,2121,TX,3.6,0.33
2022-10-05,TX-400,336,Supplier B,9,0.035,1438,CA,5.35,0.18
2021-11-21,TX-100,459,Supplier C,22,0.004,2258,IL,1.95,0.67
2023-05-14,TX-300,341,Supplier A,6,0.041,3287,CA,5.38,0.04
2022-11-01,TX-300,203,Supplier D,24,0.087,1430,IL,3.74,0.9
2021-05-04,TX-200,461,Supplier C,23,0.097,870,IL,4.47,0.15
2020-10-02,TX-400,182,Supplier C,19,0.008,1841,CA,5.17,0.62
2021-11-23,TX-400,420,Supplier A,14,0.078,4505,IL,2.87,0.75
2020-08-29,TX-200,123,Supplier E,20,0.026,4289,TX,5.79,0.07
2023-05-24,TX-500,323,Supplier E,20,0.038,4212,TX,1.88,0.9
2023-06-28,TX-100,320,Supplier C,9,0.055,1458,NY,3.87,0.36
2020-05-05,TX-400,234,Supplier E,11,0.099,3233,NY,2.65,1.0
2020-08-04,TX-200,402,Supplier C,17,0.021,2896,IL,3.34,0.07
2023-08-22,TX-300,54,Supplier D,27,0.013,1696,TX,3.52,0.72
2023-04-23,TX-200,342,Supplier D,22,0.059,2080,CA,5.62,0.16
2022-11-28,TX-500,409,Supplier A,22,0.085,655,IL,3.49,0.4
2023-05-31,TX-100,135,Supplier B,8,0.065,4064,CA,4.64,0.44
2023-04-22,TX-500,263,Supplier B,28,0.035,3671,FL,5.78,0.41
2021-05-09,TX-300,455,Supplier E,8,0.098,3159,NY,3.73,0.34
2021-03-02,TX-300,485,Supplier B,3,0.1,4454,IL,3.34,0.77
2023-04-16,TX-300,64,Supplier D,4,0.077,2860,IL,5.88,0.82
2022-07-07,TX-300,322,Supplier A,6,0.08,934,CA,5.22,0.34
2023-12-22,TX-200,100,Supplier D,25,0.076,1747,NY,5.73,0.48
2023-08-10,TX-300,302,Supplier C,6,0.026,3159,CA,3.29,0.42
2020-05-30,TX-300,94,Supplier E,10,0.015,966,CA,4.63,0.59
2021-01-18,TX-200,240,Supplier E,9,0.055,1003,NY,2.62,0.15
2020-11-03,TX-300,171,Supplier B,10,0.095,2557,FL,5.4,0.81
2023-09-21,TX-500,461,Supplier C,23,0.088,242,TX,5.7,0.8
2022-01-15,TX-500,236,Supplier B,23,0.011,3823,TX,2.71,0.59
2022-06-10,TX-400,263,Supplier B,17,0.006,2886,FL,1.97,0.75
2021-01-09,TX-500,198,Supplier B,11,0.087,3490,NY,2.4,0.99
2022-10-28,TX-100,219,Supplier C,24,0.061,2795,IL,4.35,0.92
2023-09-26,TX-100,258,Supplier B,15,0.03,2859,NY,2.72,0.61
2020-05-08,TX-100,131,Supplier E,26,0.056,3449,CA,4.37,0.51
2022-10-11,TX-200,450,Supplier B,3,0.022,3989,NY,3.08,0.53
2021-10-30,TX-500,245,Supplier C,16,0.095,3833,TX,5.63,0.47
2023-10-07,TX-100,295,Supplier C,16,0.083,1821,IL,3.54,0.48
2023-10-13,TX-400,440,Supplier D,20,0.096,3253,FL,3.74,0.73
2021-05-31,TX-200,394,Supplier B,22,0.019,4214,NY,3.07,0.99
2020-03-26,TX-400,406,Supplier C,4,0.084,4840,IL,1.83,0.05
2023-04-13,TX-500,89,Supplier B,12,0.056,2931,IL,3.72,0.23
2023-05-01,TX-300,217,Supplier A,2,0.032,1804,TX,4.98,0.21
2020-11-06,TX-400,92,Supplier E,26,0.048,557,CA,5.79,0.83
2023-02-16,TX-300,378,Supplier E,22,0.094,1376,IL,1.84,0.42
2023-05-26,TX-200,260,Supplier B,16,0.069,4874,IL,5.09,0.53
2021-03-02,TX-400,228,Supplier E,10,0.036,3415,NY,2.7,0.47
2023-12-08,TX-400,72,Supplier E,0,0.1,1708,FL,5.2,0.85
2020-04-23,TX-200,144,Supplier A,27,0.035,3994,NY,3.04,0.5
2023-03-14,TX-200,209,Supplier E,17,0.081,1196,TX,2.01,0.67
2020-10-29,TX-100,293,Supplier E,16,0.078,726,IL,4.25,0.02
2022-01-13,TX-500,464,Supplier C,8,0.072,1390,CA,5.52,0.65
2021-08-10,TX-400,66,Supplier E,19,0.067,4817,IL,2.32,0.24
2022-09-13,TX-400,161,Supplier B,6,0.011,4923,CA,1.6,0.87
2020-12-10,TX-200,152,Supplier E,4,0.099,3511,CA,5.48,0.75
2022-03-24,TX-200,363,Supplier B,29,0.016,2244,CA,4.64,0.11
2022-03-11,TX-500,135,Supplier E,15,0.06,999,FL,5.14,0.1
2022-10-21,TX-200,84,Supplier B,6,0.025,797,NY,1.77,0.29
2023-03-16,TX-300,79,Supplier E,12,0.017,3030,TX,5.51,0.13
2023-08-03,TX-300,241,Supplier B,12,0.056,4155,FL,3.39,0.74
2022-12-12,TX-300,486,Supplier E,14,0.084,4291,FL,5.54,0.99
2023-08-20,TX-300,228,Supplier A,22,0.038,3717,CA,1.79,0.66
2022-12-28,TX-500,153,Supplier C,16,0.008,3540,FL,5.48,0.25
2020-12-26,TX-400,214,Supplier C,16,0.062,3516,TX,4.53,0.56
2023-05-28,TX-300,171,Supplier C,26,0.077,3150,TX,3.99,0.81
2022-10-06,TX-200,183,Supplier C,18,0.03,2589,IL,1.78,0.96
2021-12-04,TX-300,339,Supplier A,9,0.069,892,FL,4.6,0.01
2021-07-28,TX-500,361,Supplier A,1,0.008,2175,IL,4.19,0.52
2023-03-30,TX-200,273,Supplier E,13,0.036,3643,TX,4.77,0.45
2023-01-17,TX-300,74,Supplier A,22,0.047,1022,FL,4.73,0.41
2021-11-18,TX-400,420,Supplier C,2,0.078,1581,CA,3.5,0.5
2022-02-19,TX-200,62,Supplier D,6,0.034,841,CA,2.42,0.4
2021-08-07,TX-200,368,Supplier E,24,0.045,2133,FL,5.64,0.34
2021-08-11,TX-400,279,Supplier B,27,0.063,1545,IL,5.67,0.11
2023-03-28,TX-200,151,Supplier C,10,0.062,474,IL,2.45,0.5
2021-05-03,TX-300,499,Supplier C,16,0.052,3009,CA,4.34,0.82
2022-08-28,TX-200,427,Supplier C,14,0.033,723,IL,2.41,0.1
2023-09-09,TX-300,425,Supplier A,18,0.067,1148,CA,5.38,0.74
2023-11-05,TX-400,438,Supplier B,28,0.084,705,NY,1.94,0.27
2023-01-30,TX-100,252,Supplier E,10,0.015,2213,CA,5.96,0.38
2021-05-08,TX-400,316,Supplier C,14,0.034,2676,NY,4.25,0.99
2020-01-19,TX-300,414,Supplier B,14,0.067,377,FL,1.6,0.68
2021-01-31,TX-500,271,Supplier D,5,0.076,2157,NY,5.47,0.72
2022-09-27,TX-400,153,Supplier A,14,0.078,1264,TX,4.58,0.6
2023-07-26,TX-500,160,Supplier C,28,0.065,3981,IL,4.64,0.32
2022-04-30,TX-500,477,Supplier B,8,0.048,4223,NY,2.74,0.68
2023-10-20,TX-300,118,Supplier B,4,0.065,3271,TX,3.02,0.46
2023-09-16,TX-300,407,Supplier C,18,0.014,2867,TX,5.61,0.83
2023-09-29,TX-100,307,Supplier B,23,0.021,360,IL,4.36,0.57
2022-04-01,TX-200,217,Supplier B,28,0.093,4233,CA,1.58,0.77
2021-03-30,TX-400,342,Supplier E,29,0.092,3665,TX,2.97,0.85
2021-12-25,TX-300,423,Supplier A,27,0.072,3918,NY,4.19,0.82
2022-12-24,TX-400,98,Supplier E,4,0.033,4662,IL,2.17,0.4
2023-01-04,TX-500,299,Supplier A,21,0.065,2894,NY,1.94,0.37
2021-12-11,TX-200,380,Supplier A,12,0.069,1303,CA,1.77,0.87
2020-05-22,TX-100,469,Supplier E,17,0.052,2112,IL,4.34,0.14
2022-07-05,TX-400,124,Supplier C,19,0.075,1910,TX,2.94,0.28
2022-04-07,TX-200,250,Supplier B,16,0.003,3708,NY,3.18,0.12
2021-08-27,TX-100,83,Supplier D,14,0.026,403,NY,1.77,0.04
2023-12-11,TX-400,363,Supplier E,13,0.079,1196,TX,4.82,0.62
2020-10-31,TX-200,160,Supplier E,28,0.094,4128,TX,4.95,0.9
2022-01-05,TX-300,470,Supplier C,15,0.088,3718,CA,5.23,0.13
2020-10-17,TX-400,401,Supplier B,3,0.072,1266,CA,4.43,0.8
2020-04-11,TX-200,365,Supplier E,16,0.017,4409,TX,4.98,0.38
2023-07-14,TX-100,445,Supplier D,19,0.037,2452,IL,4.1,0.62
2022-05-16,TX-200,286,Supplier B,13,0.005,444,TX,3.71,0.76
2022-08-25,TX-300,81,Supplier E,17,0.064,843,TX,2.67,0.71
2022-08-31,TX-400,258,Supplier E,5,0.045,1721,FL,1.74,0.14
2022-04-21,TX-400,181,Supplier A,21,0.057,2641,IL,2.81,0.12
2022-08-19,TX-400,155,Supplier A,7,0.098,2022,IL,4.58,0.92
2022-07-30,TX-300,82,Supplier E,8,0.04,1248,CA,5.67,0.08
2022-10-23,TX-100,92,Supplier C,23,0.031,2988,CA,2.65,0.22
2020-03-25,TX-400,417,Supplier A,0,0.015,4050,CA,4.51,0.44
2020-11-23,TX-100,156,Supplier E,12,0.014,756,NY,3.65,0.82
2022-03-26,TX-200,314,Supplier B,2,0.052,4812,IL,4.32,0.6
2021-03-29,TX-100,275,Supplier D,5,0.075,875,FL,1.51,0.57
2021-09-20,TX-100,228,Supplier A,16,0.056,1769,CA,2.05,0.69
2023-05-29,TX-400,271,Supplier E,7,0.087,2107,CA,2.48,0.8
2023-03-23,TX-500,419,Supplier A,29,0.032,4697,CA,5.52,0.23
2021-10-26,TX-500,174,Supplier B,5,0.06,1759,CA,1.68,0.02
2020-01-12,TX-300,325,Supplier C,15,0.066,706,CA,4.06,0.13
2023-03-02,TX-300,216,Supplier E,0,0.028,3803,NY,5.68,0.17
2020-10-30,TX-500,200,Supplier B,9,0.04,529,FL,4.43,0.04
2023-08-09,TX-200,90,Supplier D,17,0.059,3472,IL,3.68,0.75
2022-09-01,TX-400,349,Supplier E,21,0.002,1104,FL,3.24,0.88
2023-08-16,TX-400,430,Supplier D,25,0.089,1712,TX,4.31,0.71
2022-02-21,TX-200,84,Supplier C,13,0.011,4289,IL,3.66,0.19
2020-02-12,TX-200,456,Supplier E,23,0.005,2462,CA,4.67,0.61
2022-08-01,TX-500,363,Supplier E,4,0.022,2300,TX,4.28,0.52
2020-12-08,TX-300,353,Supplier B,16,0.05,2287,TX,4.05,0.82
2023-09-11,TX-200,280,Supplier A,13,0.033,1720,TX,5.81,0.94
2021-05-12,TX-300,264,Supplier E,25,0.044,4411,TX,5.26,0.74
2020-12-29,TX-100,363,Supplier C,17,0.008,2941,CA,4.24,0.51
2022-06-09,TX-400,150,Supplier E,3,0.023,4565,TX,3.92,0.51
2021-03-02,TX-500,106,Supplier E,19,0.01,1071,FL,4.76,0.81
2022-10-01,TX-400,264,Supplier E,22,0.023,2388,CA,5.12,0.12
2020-01-21,TX-500,472,Supplier E,1,0.07,1658,TX,2.83,0.15
2021-02-10,TX-100,205,Supplier C,6,0.058,2468,TX,4.5,0.34
2021-09-10,TX-400,113,Supplier B,6,0.033,2192,FL,2.11,0.75
2022-10-11,TX-100,111,Supplier A,6,0.026,4809,NY,3.44,0.07
2020-12-01,TX-500,388,Supplier C,12,0.1,383,NY,5.72,0.34
2023-02-14,TX-200,418,Supplier C,18,0.077,2134,FL,2.97,0.32
2023-02-21,TX-400,417,Supplier D,21,0.082,3755,NY,2.19,0.49
2021-02-02,TX-100,111,Supplier A,27,0.003,3724,IL,2.16,0.46
2022-03-03,TX-400,143,Supplier B,5,0.006,1914,IL,3.27,0.71
2021-12-15,TX-400,390,Supplier B,19,0.071,771,IL,2.51,0.63
2020-02-20,TX-400,75,Supplier D,16,0.019,2234,NY,3.42,0.9
2020-11-19,TX-300,484,Supplier D,24,0.043,1582,IL,4.73,0.18
2022-02-27,TX-100,170,Supplier C,17,0.018,2446,IL,5.5,0.43
2020-05-20,TX-100,99,Supplier B,24,0.018,113,NY,2.0,0.4
2021-04-14,TX-400,420,Supplier B,23,0.011,855,FL,4.96,0.11
2022-02-25,TX-200,301,Supplier B,0,0.059,268,CA,1.97,0.16
2023-09-19,TX-400,85,Supplier C,26,0.074,2379,IL,3.21,0.34
2022-08-21,TX-300,459,Supplier B,22,0.006,1234,NY,5.98,0.73
2022-10-04,TX-500,338,Supplier E,12,0.028,2761,CA,1.81,0.15
2021-01-07,TX-300,428,Supplier D,25,0.066,4924,CA,1.6,0.27
2021-05-08,TX-200,149,Supplier D,18,0.039,339,TX,3.0,0.68
2022-01-20,TX-400,373,Supplier D,15,0.07,2387,CA,5.78,0.6
2023-03-25,TX-100,378,Supplier D,9,0.076,4465,IL,1.59,0.1
2020-10-17,TX-400,185,Supplier E,12,0.003,2687,FL,2.5,0.94
2023-03-13,TX-200,243,Supplier A,9,0.038,1409,IL,4.21,0.15
2020-04-15,TX-100,270,Supplier B,29,0.073,542,TX,2.55,0.06
2023-12-14,TX-300,328,Supplier D,29,0.038,824,CA,1.74,0.3
2021-10-31,TX-500,375,Supplier B,13,0.001,1007,TX,1.74,0.03
2020-01-02,TX-500,104,Supplier B,8,0.034,1626,IL,4.02,0.03
2021-08-11,TX-400,476,Supplier E,20,0.087,2517,IL,4.03,0.58
2021-10-05,TX-300,159,Supplier B,10,0.095,1243,IL,4.68,0.89
2020-03-30,TX-200,198,Supplier D,2,0.056,174,FL,2.09,0.4
2023-09-30,TX-500,455,Supplier B,7,0.031,2570,IL,3.75,0.3
2020-12-15,TX-300,314,Supplier E,11,0.047,169,IL,4.2,0.91
2023-07-10,TX-400,211,Supplier D,2,0.024,4940,CA,2.5,0.06
2023-10-06,TX-100,236,Supplier E,6,0.017,4165,FL,3.96,0.47
2023-02-05,TX-400,459,Supplier C,13,0.049,231,CA,4.69,0.25
2022-11-28,TX-400,178,Supplier A,6,0.074,1221,TX,5.96,0.38
2022-06-27,TX-300,157,Supplier B,6,0.022,4297,NY,4.18,0.41
2020-06-07,TX-500,438,Supplier B,13,0.091,1290,CA,5.38,0.55
2022-08-16,TX-300,474,Supplier B,11,0.017,1228,FL,5.25,0.45
2020-11-07,TX-100,496,Supplier C,0,0.056,697,CA,5.73,0.99
2023-06-18,TX-300,455,Supplier A,26,0.078,1672,NY,4.75,0.03
2021-03-20,TX-200,117,Supplier E,4,0.021,771,CA,2.46,0.76
2020-10-24,TX-400,481,Supplier C,27,0.03,4830,NY,2.84,0.05
2022-08-09,TX-500,115,Supplier C,10,0.005,3815,FL,5.03,0.43
2020-02-05,TX-100,193,Supplier D,0,0.094,3437,CA,3.84,0.2
2023-01-12,TX-400,102,Supplier C,22,0.049,3966,FL,2.63,0.95
2023-11-09,TX-300,177,Supplier C,12,0.006,2999,FL,4.46,0.72
2023-04-10,TX-200,370,Supplier B,28,0.083,2408,TX,5.58,0.46
2023-10-31,TX-300,256,Supplier D,23,0.057,2563,TX,3.11,0.95
2023-10-17,TX-400,369,Supplier E,22,0.006,4090,CA,4.18,0.72
2021-07-12,TX-100,265,Supplier A,16,0.045,3632,CA,4.12,0.95
2022-06-09,TX-500,117,Supplier E,2,0.043,2848,FL,2.07,0.7
2020-05-20,TX-400,496,Supplier D,9,0.015,2690,TX,1.91,0.08
2022-06-05,TX-100,111,Supplier B,18,0.042,3130,CA,5.5,0.62
2023-02-15,TX-400,259,Supplier A,6,0.028,3481,CA,5.7,0.98
2023-07-24,TX-200,386,Supplier E,19,0.07,1811,CA,5.57,0.21
2021-12-26,TX-300,376,Supplier A,27,0.001,4244,TX,3.28,0.79
2023-05-28,TX-500,419,Supplier A,2,0.011,4639,CA,2.79,0.18
2022-11-15,TX-100,478,Supplier A,21,0.092,271,FL,5.74,0.45
2021-06-04,TX-500,101,Supplier C,11,0.043,3137,CA,5.47,0.08
2020-01-10,TX-500,165,Supplier D,25,0.018,3501,IL,5.19,0.34
2022-09-10,TX-500,430,Supplier D,21,0.079,4201,NY,3.0,0.78
2021-01-12,TX-100,432,Supplier B,9,0.085,1327,FL,4.37,0.05
2021-11-12,TX-100,114,Supplier E,20,0.021,2516,CA,4.88,0.32
2021-08-06,TX-500,179,Supplier B,11,0.071,821,IL,4.09,0.63
2020-05-31,TX-300,226,Supplier E,14,0.062,3719,TX,4.21,0.95
2021-12-20,TX-400,327,Supplier A,5,0.075,1030,FL,4.91,0.25
2022-12-08,TX-500,462,Supplier E,18,0.079,2428,FL,4.95,0.17
2023-03-23,TX-200,212,Supplier E,29,0.066,1178,CA,2.58,0.2
2022-05-08,TX-500,381,Supplier A,28,0.096,3484,TX,3.26,0.24
2023-08-09,TX-100,201,Supplier B,25,0.086,3065,CA,5.02,0.64
2020-02-19,TX-400,399,Supplier E,4,0.023,3649,IL,2.68,1.0
2021-10-25,TX-200,285,Supplier B,24,0.091,2575,NY,5.62,0.52
2021-06-14,TX-400,207,Supplier B,19,0.036,1635,TX,5.28,0.27
2022-12-19,TX-400,475,Supplier D,26,0.073,512,NY,5.53,0.75
2023-04-05,TX-200,376,Supplier A,1,0.085,938,IL,2.84,0.16
2023-05-10,TX-500,155,Supplier A,20,0.044,3787,FL,1.97,0.03
2022-05-06,TX-500,355,Supplier C,18,0.005,1126,IL,1.95,0.61
2020-05-25,TX-500,304,Supplier B,27,0.095,3768,NY,4.0,0.21
2022-07-03,TX-300,407,Supplier C,18,0.007,4880,TX,2.88,0.4
2022-09-19,TX-500,493,Supplier A,3,0.035,2935,CA,2.69,0.23
2020-08-29,TX-200,162,Supplier A,27,0.06,159,NY,2.5,0.92
2021-08-03,TX-300,79,Supplier C,19,0.012,689,TX,4.03,0.34
2021-11-17,TX-500,61,Supplier A,4,0.084,2677,NY,3.97,0.45
2021-04-27,TX-300,226,Supplier A,6,0.02,3268,FL,3.4,0.23
2023-02-05,TX-200,387,Supplier D,3,0.099,2134,FL,2.12,0.08
2023-06-03,TX-500,95,Supplier E,10,0.092,4168,CA,5.68,0.51
2021-11-03,TX-100,220,Supplier D,22,0.06,876,FL,3.43,0.87
2021-09-22,TX-200,179,Supplier E,24,0.066,247,IL,2.06,0.35
2021-10-22,TX-400,294,Supplier D,2,0.053,146,CA,1.67,0.78
2021-10-23,TX-400,402,Supplier D,4,0.039,1367,NY,2.19,0.03
2023-12-26,TX-200,252,Supplier B,19,0.035,1601,IL,2.84,0.24
2022-03-15,TX-400,275,Supplier C,14,0.089,1718,TX,4.34,0.13
2021-02-22,TX-200,129,Supplier D,24,0.058,1764,NY,5.87,0.4
2022-09-14,TX-100,359,Supplier B,20,0.082,4140,FL,2.72,0.89
2023-03-29,TX-200,84,Supplier D,25,0.051,3103,NY,5.05,0.37
2021-10-11,TX-500,101,Supplier C,17,0.031,2122,FL,5.6,0.6
2022-08-26,TX-500,210,Supplier B,15,0.009,309,IL,3.26,0.9
2021-08-12,TX-300,133,Supplier E,15,0.032,4382,IL,2.64,0.36
2023-01-05,TX-400,377,Supplier C,9,0.088,1287,IL,3.71,0.37
2021-05-23,TX-400,484,Supplier A,0,0.071,3153,CA,5.54,0.09
2021-03-16,TX-200,75,Supplier B,22,0.079,134,FL,1.55,0.35
2023-07-01,TX-400,274,Supplier A,10,0.077,2143,NY,3.69,0.75
2022-07-09,TX-500,495,Supplier B,16,0.012,1376,NY,4.91,0.84
2022-02-08,TX-100,366,Supplier E,23,0.016,4670,NY,4.21,0.72
2023-09-05,TX-200,203,Supplier B,14,0.032,4954,CA,3.74,0.01
2020-09-19,TX-400,342,Supplier D,24,0.03,4665,CA,3.99,0.12
2023-10-29,TX-500,463,Supplier A,6,0.007,3054,FL,4.29,0.73
2021-09-28,TX-300,144,Supplier A,24,0.015,363,CA,4.57,0.94
2023-04-05,TX-400,274,Supplier B,25,0.086,1228,IL,3.1,0.7
2021-04-03,TX-100,316,Supplier D,5,0.059,3391,NY,3.83,0.23
2022-09-25,TX-100,486,Supplier D,14,0.034,4962,IL,2.73,0.11
2023-07-27,TX-400,90,Supplier B,14,0.053,506,CA,5.93,0.88
2021-11-30,TX-400,182,Supplier C,6,0.026,2793,NY,2.34,0.1
2020-10-28,TX-500,115,Supplier E,2,0.058,1329,TX,2.18,0.15
2023-05-26,TX-400,446,Supplier B,13,0.007,2211,IL,2.71,0.6
2023-01-30,TX-300,496,Supplier D,29,0.09,3116,TX,5.64,0.19
2021-07-07,TX-500,259,Supplier E,8,0.024,971,FL,4.46,0.23
2020-10-14,TX-200,202,Supplier B,2,0.082,4233,IL,3.55,0.14
2023-04-05,TX-300,221,Supplier E,5,0.066,4955,NY,5.66,0.94
2021-09-12,TX-500,447,Supplier C,19,0.052,4860,NY,5.55,0.12
2022-10-02,TX-500,374,Supplier D,8,0.093,4417,TX,3.31,0.93
2020-02-05,TX-100,108,Supplier C,0,0.016,4965,NY,4.04,0.33
2022-01-13,TX-500,233,Supplier C,8,0.012,572,IL,5.57,0.82
2020-12-18,TX-300,229,Supplier D,11,0.032,3677,CA,2.94,0.95
2020-03-13,TX-400,371,Supplier C,3,0.083,4774,CA,3.33,0.52
2021-10-09,TX-300,373,Supplier B,25,0.004,3932,NY,5.07,0.77
2023-10-08,TX-200,61,Supplier B,15,0.024,4430,FL,4.64,0.27
2022-12-29,TX-500,117,Supplier E,4,0.042,2241,IL,1.72,0.38
2021-02-28,TX-500,476,Supplier B,26,0.071,3008,FL,2.03,0.55
2022-09-25,TX-500,378,Supplier B,28,0.03,2986,TX,5.31,0.85
2021-12-08,TX-500,251,Supplier E,16,0.045,4844,NY,1.63,0.62
2021-07-14,TX-100,55,Supplier A,29,0.034,4211,TX,5.64,0.02
2022-04-07,TX-100,64,Supplier D,16,0.009,1498,FL,2.72,0.3
2022-08-13,TX-400,91,Supplier B,5,0.074,463,IL,4.19,0.86
2021-05-31,TX-500,80,Supplier E,25,0.046,843,FL,4.04,0.24
2021-03-03,TX-200,230,Supplier C,28,0.081,3569,CA,3.28,0.37
2020-06-08,TX-400,311,Supplier C,14,0.069,2557,FL,1.64,0.39
2020-05-28,TX-500,338,Supplier B,0,0.006,3784,FL,2.37,0.15
2022-02-14,TX-100,462,Supplier D,12,0.05,2333,FL,4.27,0.35
2023-06-07,TX-200,70,Supplier E,15,0.099,4141,FL,3.51,0.82
2020-03-07,TX-400,429,Supplier E,1,0.031,569,IL,3.36,0.85
2022-10-10,TX-200,231,Supplier E,28,0.049,411,NY,1.94,0.58
2021-01-15,TX-500,233,Supplier E,29,0.065,2947,IL,3.06,0.68
2020-02-27,TX-300,293,Supplier E,18,0.02,3249,TX,3.87,0.53
2023-07-06,TX-200,399,Supplier D,22,0.07,4730,CA,1.85,0.04
2020-12-07,TX-200,198,Supplier E,1,0.066,2269,NY,1.8,0.7
2023-02-27,TX-100,305,Supplier D,20,0.037,4423,CA,3.71,1.0
2021-12-27,TX-500,149,Supplier D,24,0.028,1088,CA,4.03,0.23
2023-04-10,TX-200,104,Supplier D,11,0.092,1531,NY,2.66,0.98
2022-02-08,TX-500,235,Supplier C,11,0.013,4210,NY,2.97,1.0
2021-09-05,TX-100,369,Supplier A,25,0.043,313,TX,5.09,0.14
2023-05-17,TX-500,135,Supplier B,7,0.077,4798,IL,5.41,0.93
2020-12-19,TX-100,223,Supplier C,11,0.015,4247,NY,2.96,0.68
2020-04-25,TX-100,71,Supplier A,23,0.093,4252,TX,3.1,0.47
2023-07-11,TX-400,293,Supplier C,10,0.053,1412,FL,5.24,0.34
2021-10-23,TX-500,109,Supplier D,1,0.05,3320,NY,5.88,0.63
2021-03-28,TX-300,153,Supplier D,0,0.042,2555,IL,2.94,0.84
2020-10-13,TX-400,188,Supplier E,24,0.087,4727,FL,5.05,0.03
2023-08-19,TX-100,352,Supplier D,25,0.095,3540,FL,3.66,0.54
2022-10-13,TX-300,208,Supplier C,27,0.038,2504,FL,2.69,0.65
2020-11-06,TX-200,281,Supplier B,3,0.054,799,FL,4.57,0.03
2020-07-26,TX-200,126,Supplier D,8,0.032,1666,CA,3.58,0.89
2021-09-09,TX-400,67,Supplier A,26,0.037,4869,IL,2.71,0.95
2021-03-21,TX-300,71,Supplier C,29,0.003,1409,TX,1.98,0.61
2021-10-31,TX-500,233,Supplier A,27,0.079,4712,NY,5.4,0.12
2021-09-24,TX-300,194,Supplier E,26,0.097,780,TX,5.45,0.93
2020-02-24,TX-400,87,Supplier E,6,0.077,1808,CA,1.84,0.81
2022-06-30,TX-500,330,Supplier B,27,0.052,4922,FL,4.49,0.03
2022-11-01,TX-500,337,Supplier C,21,0.083,4000,NY,2.23,0.58
2021-10-18,TX-200,192,Supplier B,25,0.086,2264,IL,4.41,0.11
2023-11-24,TX-300,62,Supplier A,28,0.054,4464,NY,5.58,0.14
2022-09-06,TX-500,235,Supplier B,24,0.094,1887,NY,2.67,0.19
2021-05-29,TX-400,483,Supplier A,9,0.003,817,TX,3.07,0.4
